feature,model_status,availability_stage,rationale,timing_evidence
source_row_id,excluded,identifier,Stable join key from the export order; carries no information about the applicant.,explicit_protocol_rule
mths_since_rcnt_il,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_bal_il,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
il_util,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_rv_12m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
open_rv_24m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
max_bal_bc,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
all_util,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_rev_hi_lim,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
inq_fi,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_cu_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
inq_last_12m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
acc_open_past_24mths,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
avg_cur_bal,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
bc_open_to_buy,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
bc_util,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
chargeoff_within_12_mths,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
delinq_amnt,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mo_sin_old_il_acct,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mo_sin_old_rev_tl_op,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mo_sin_rcnt_rev_tl_op,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mo_sin_rcnt_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mort_acc,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_recent_bc,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_recent_bc_dlq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_recent_inq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
mths_since_recent_revol_delinq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_accts_ever_120_pd,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_actv_bc_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_actv_rev_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_bc_sats,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_bc_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_il_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_op_rev_tl,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_rev_accts,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_rev_tl_bal_gt_0,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_sats,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_tl_120dpd_2m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_tl_30dpd,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_tl_90g_dpd_24m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
num_tl_op_past_12m,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
pct_tl_nvr_dlq,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
percent_bc_gt_75,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
pub_rec_bankruptcies,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
tax_liens,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
tot_hi_cred_lim,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_bal_ex_mort,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_bc_limit,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
total_il_high_credit_limit,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
disbursement_method,included_with_timing_caveat,application_or_origination_process,Process metadata retained by the frozen plan; exact pre-pricing availability must be documented.,timing_not_independently_verified
credit_history_months,included,application_credit_file,Credit-file or application characteristic treated as available at scoring time.,field_semantics; source-timing documentation still required
issue_year,excluded,split_only,Origination year defines temporal partitions and is excluded from prediction.,explicit_protocol_rule
target,excluded,outcome,"Observed repayment outcome; prediction target, never a predictor.",explicit_protocol_rule
